Company/Brand,Stage,Amount($),Location,What_it_does,Sector
ShareChat,Series C,99230000.0,Bangalore,ShareChat is a social networking and regional content platform for the fast growing Internet users in India.,Media & Entertainment
Cyclops Medtech,Seed,1000000.0,Bangalore,Medtech startup working on clinical and wearable diagnostic and rehab products for neuro vestibular disorders using eye tracking technology.,Healthcare
Livspace,Series C,70000000.0,Bangalore,"Livspace is the new online shopping destination where you can design, decorate and furnish your dream home.",E-commerce
NewsBytes,Seed,1000000.0,Gurgaon,NewsBytes provides your everyday news in a contextual timeline to reduce information overload.,Media & Entertainment
Leena AI,Seed,2000000.0,Gurgaon,Leena is smart AI powered HR companion dedicated towards engaging employees.,Human Resources
Max Healthcare,Later Stage,1000000.0,New Delhi,Max Healthcare is one of the leading chain of hospitals in India.,Transportation & Logistics
GoBolt,Unknown Stage,1000000.0,New Delhi,Delhi-based logistics technology.,Transportation & Logistics
GoGaga,Pre-Seed,40000.0,Bangalore City,GoGaga is a new age dating app that has removed the mindless swiping on strangers and connects users through their network and find matches.,Lifestyle
Mate Labs,Seed,550000.0,Bangalore,Mate Labs is a machine learning solutions platform for beginners.,Technology
Furlenco,Series C,1000000.0,Bangalore,Furlenco is a Bangalore-based company that offers a home furniture subscription program.,Real Estate
Ola,Unknown Stage,50000000.0,Kormangala,Ola is a mobile app that brings together cab drivers and customers using technology to make transportation hassle-free in India.,Transportation & Logistics
DocPrime,Seed,50000000.0,Haryana,DocPrime offers a one-stop healthcare solution right at the comfort of patients' homes.,Healthcare
CLP India Pvt. Ltd.,Equity,365000000.0,Mumbai,CLP India Pvt. Ltd. is a foreign investor in the Indian power sector.,Energy
Xplorabox,Seed,1000000.0,Noida,Xplorabox is as an educational activity box subscription startup aiming to revolutionize the early education industry.,Education
Myra,Unknown Stage,1000000.0,Bangalore,Myra is a unique solution of technology and operations that makes buying medicines fast and efficient.,Healthcare
Vokal,Series A,1500000.0,Bengaluru,India's Largest Peer-to-Peer Knowledge Sharing Platform in Indian Languages.,Technology
Kissht,Series C,30000000.0,Mumbai,"Kissht is a financial technology platform that enables instant, seamless credit for consumers to make purchases at digital points of sales",Finance
Upwards Fintech,Series A,5000000.0,Mumbai,Upwards Fintech financial company.,Finance
Bon(Bonfleet Solutions),Seed,1000000.0,Pune,"Bon, a Pune-based FinTech firm was created to bring financial services to the gig-economy workforce.",Finance
Mamaearth,Series A,4000000.0,Gurgaon,Mamaearth is an online retailer specializing in baby and toddler products.,E-commerce
BabyChakra,Series B,1000000.0,Mumbai,BabyChakra is India's largest & most loved platform to discover the right maternity and childcare.,Technology
Belstar Investment and Finance Private Limited,Unknown Stage,28000000.0,Chennai,Belstar Investment and Finance Private Limited is a provider of scalable microfinance services to entrepreneurs.,Finance
Naaptol,Unknown Stage,15000000.0,Mumbai,"Koku Gamer is an online platform that offers gaming related news, editorials, reviews, previews, and other content.",E-commerce
Moonshine Meadery,Seed,1000000.0,Pune,Moonshine Meadery is a first craft meadery.,Food & Beverage
Verzeo,Series A,5000000.0,Bangalore,Verzeo is anAI-focussed edtech startup.,Education
Haazri,Seed,1000000.0,Mumbai,Haazri is a tea and snack quick service restaurant startup,Food & Beverage
Connect India,Angel,1000000.0,New Delhi,"To create pervasive network where connections are simpler, more powerful, more affordable, more global and more available to all.",Transportation & Logistics
Flyrobe,Series B,1000000.0,Mumbai,Flyrobe is an on-demand apparel rental platform that provides premium designer wear.,Lifestyle
Scholify,Pre-Seed,1000000.0,Bengaluru,Edutech,Technology
Dream11,Later Stage,100000000.0,Mumbai,"Dream11 is India’s Biggest Sports Game with 30 million+ users playing Fantasy Cricket, Football, Kabaddi and NBA.",Sports
srJna,Seed,1000000.0,Jaipur,"SRJNA is a brand of Elation Edtech Pvt. Ltd., which helps schools to integrate hands on, affordable and turnkey STEM.",Education
Nykaa,Equity,1000000.0,Mumbai,Nykaa.com is a premier online beauty and wellness destination,Lifestyle
Chaayos,Series B,1000000.0,New Delhi,Chaayos was born in November 2012 out of this premise - a contemporary interpretation of the chai adda.,Food & Beverage
Heelium,Seed,1000000.0,Pune,Heelium is an athletic footwear and wearable startup with primary focus on sports safety and sustainability.,Manufacturing
LT Foods,Later Stage,1000000.0,New Delhi,LT Foods believe that nature will continue to nurture us until we as a species continue to breathe and live.,Food & Beverage
Multibashi,Seed,1000000.0,Bengaluru,Free language learning platform.,Education
Cleardekho,Unknown Stage,1000000.0,Ghaziabad,Uttar Pradesh based online eyewear marketplace.,Technology
Dailyhunt,Later Stage,6000000.0,Bangalore,NewsHunt is a Bangalore based eBooks company.,Education
SlicePay,Series A,14900000.0,Bengaluru,SlicePay is an AI based instant credit app for youngsters in India.,Finance
Udaan,Series C,225000000.0,Bangalore,"Udaan is a B2B trade platform, designed specifically for small and medium businesses in India.",E-commerce
Happyeasygo Group,Series A,1000000.0,Haryana,HappyEasyGo is an online travel domain.,Transportation & Logistics
Mombay,Seed,7500.0,Mumbai,Mombay is a unique opportunity for housewives to start household food business and avail everyone with their homemade healthy dishes.,Food & Beverage
Droni Tech,Seed,1000000.0,Mumbai,Droni Tech manufacture UAVs and develop software to service a range of industry requirements.,Technology
Netmeds,Series C,35000000.0,Chennai,Welcome to India's most convenient pharmacy!,Healthcare
